17:07:52.589779 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
17:07:52.590913 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
17:07:52.791662 IP 192.168.15.129.36294 > 192.168.15.2.domain: 6776+ PTR? 130.15.168.192.in-addr.arpa. (45)
17:07:52.804941 IP 192.168.15.2.domain > 192.168.15.129.36294: 6776 NXDomain 0/0/0 (45)
17:07:52.806720 IP 192.168.15.129.36884 > 192.168.15.130.loc-srv: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.806745 IP 192.168.15.129.36884 > 192.168.15.130.1723: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.806799 IP 192.168.15.129.36884 > 192.168.15.130.http-alt: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.806904 IP 192.168.15.129.36884 > 192.168.15.130.1025: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.807018 IP 192.168.15.129.36884 > 192.168.15.130.domain: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.807027 IP 192.168.15.129.36884 > 192.168.15.130.telnet: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.807201 IP 192.168.15.129.36884 > 192.168.15.130.smux: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.807325 IP 192.168.15.129.36884 > 192.168.15.130.imaps: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.807335 IP 192.168.15.129.36884 > 192.168.15.130.pop3: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.807457 IP 192.168.15.129.36884 > 192.168.15.130.auth: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.808139 IP 192.168.15.130.loc-srv > 192.168.15.129.36884: Flags [S.], seq 4068544036, ack 2929750037, win 17520, options [mss 1460], length 0
17:07:52.808548 IP 192.168.15.130.1723 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.808831 IP 192.168.15.130.http-alt > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.809435 IP 192.168.15.130.1025 > 192.168.15.129.36884: Flags [S.], seq 4068594924, ack 2929750037, win 17520, options [mss 1460], length 0
17:07:52.809506 IP 192.168.15.130.domain > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.809570 IP 192.168.15.130.telnet > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.809662 IP 192.168.15.129.36884 > 192.168.15.130.loc-srv: Flags [R], seq 2929750037, win 0, length 0
17:07:52.809760 IP 192.168.15.130.smux > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.810026 IP 192.168.15.130.imaps > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
