13:56:55.648881 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1597, length 64
13:56:55.731572 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1597, length 64
13:56:56.658223 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1598, length 64
13:56:56.811808 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1598, length 64
13:56:57.667706 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1599, length 64
13:56:57.939268 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1599, length 64
13:56:58.677487 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1600, length 64
13:56:58.907756 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1600, length 64
13:56:59.686995 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1601, length 64
13:56:59.786606 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1601, length 64
13:57:00.696416 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1602, length 64
13:57:00.738961 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1602, length 64
13:57:01.706718 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1603, length 64
13:57:01.857094 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1603, length 64
13:57:02.251791 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:02.716424 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1604, length 64
13:57:02.808966 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1604, length 64
13:57:03.725657 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1605, length 64
13:57:03.752074 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:03.809046 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1605, length 64
13:57:04.735403 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1606, length 64
13:57:04.784950 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1606, length 64
13:57:05.252208 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:05.745012 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1607, length 64
13:57:05.916001 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1607, length 64
13:57:06.210332 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
13:57:06.210800 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.411450 IP 192.168.15.129.39610 > 192.168.15.2.domain: 52926+ PTR? 130.15.168.192.in-addr.arpa. (45)
13:57:06.415896 IP 192.168.15.2.domain > 192.168.15.129.39610: 52926 NXDomain 0/0/0 (45)
13:57:06.416662 ARP, Request who-has 192.168.15.130 tell 192.168.15.129, length 46
13:57:06.416977 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.417246 IP 192.168.15.129.64613 > 192.168.15.130.1720: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417257 IP 192.168.15.129.64613 > 192.168.15.130.8888: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417259 IP 192.168.15.129.64613 > 192.168.15.130.auth: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417261 IP 192.168.15.129.64613 > 192.168.15.130.1723: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417262 IP 192.168.15.129.64613 > 192.168.15.130.ftp: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417264 IP 192.168.15.129.64613 > 192.168.15.130.http-alt: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417266 IP 192.168.15.129.64613 > 192.168.15.130.ssh: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417354 IP 192.168.15.129.64613 > 192.168.15.130.rtsp: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417358 IP 192.168.15.129.64613 > 192.168.15.130.http: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417360 IP 192.168.15.129.64613 > 192.168.15.130.smux: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:06.417666 IP 192.168.15.130.1720 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.417765 IP 192.168.15.130.8888 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.417771 IP 192.168.15.130.auth > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.417840 IP 192.168.15.130.1723 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.417974 IP 192.168.15.130.ftp > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.418042 IP 192.168.15.130.http-alt > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.418083 IP 192.168.15.130.ssh > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.418135 IP 192.168.15.130.rtsp > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.418254 IP 192.168.15.130.http > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.418360 IP 192.168.15.130.smux > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:06.754985 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1608, length 64
13:57:06.886993 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1608, length 64
13:57:07.518972 IP 192.168.15.129.64614 > 192.168.15.130.smux: Flags [S], seq 425302587, win 1024, options [mss 1460], length 0
13:57:07.519037 IP 192.168.15.129.64614 > 192.168.15.130.http: Flags [S], seq 425302587, win 1024, options [mss 1460], length 0
13:57:07.519065 IP 192.168.15.129.64614 > 192.168.15.130.rtsp: Flags [S], seq 425302587, win 1024, options [mss 1460], length 0
13:57:07.519093 IP 192.168.15.129.64614 > 192.168.15.130.ssh: Flags [S], seq 425302587, win 1024, options [mss 1460], length 0
13:57:07.519325 IP 192.168.15.130.smux > 192.168.15.129.64614: Flags [R.], seq 0, ack 425302588, win 0, length 0
13:57:07.519374 IP 192.168.15.130.http > 192.168.15.129.64614: Flags [R.], seq 0, ack 425302588, win 0, length 0
13:57:07.519417 IP 192.168.15.129.64614 > 192.168.15.130.http-alt: Flags [S], seq 425302587, win 1024, options [mss 1460], length 0
